Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,pH,Sulphates,Alcohol,Quality Score
7,0.27,0.36,20.7,0.04,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.05,14,132,0.994,3.32,0.49,9.5,6
8.1,0.28,0.4,6.9,0.05,30,97,0.995,3.31,0.44,10.1,6
7.2,0.23,0.32,8.5,0.06,47,186,0.996,3.23,0.4,9.9,6
7.2,0.23,0.32,8.5,0.06,47,186,0.996,3.19,0.4,9.9,6
8.1,0.28,0.4,6.9,0.05,30,97,0.995,3.26,0.44,10.1,6
6.2,0.32,0.16,7,0.04,30,136,0.995,3.18,0.47,9.6,6
7,0.27,0.36,20.7,0.04,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.05,14,132,0.994,3.3,0.49,9.5,6
8.1,0.22,0.43,1.5,0.04,28,129,0.994,3.22,0.45,11,6
8.1,0.27,0.41,1.45,0.03,11,63,0.991,2.99,0.56,12,5
8.6,0.23,0.4,4.2,0.03,17,109,0.995,3.14,0.53,9.7,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
6.6,0.16,0.4,1.5,0.04,48,143,0.991,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.04,41,172,1,2.98,0.67,9.7,5
6.6,0.17,0.38,1.5,0.03,28,112,0.991,3.25,0.55,11.4,7
6.3,0.48,0.04,1.1,0.05,30,99,0.993,3.24,0.36,9.6,6
6.2,0.66,0.48,1.2,0.03,29,75,0.989,3.33,0.39,12.8,8
7.4,0.34,0.42,1.1,0.03,17,171,0.992,3.12,0.53,11.3,6
6.5,0.31,0.14,7.5,0.04,34,133,0.996,3.22,0.5,9.5,5
6.2,0.66,0.48,1.2,0.03,29,75,0.989,3.33,0.39,12.8,8
6.4,0.31,0.38,2.9,0.04,19,102,0.991,3.17,0.35,11,7
6.8,0.26,0.42,1.7,0.05,41,122,0.993,3.47,0.48,10.5,8
7.6,0.67,0.14,1.5,0.07,25,168,0.994,3.05,0.51,9.3,5
6.6,0.27,0.41,1.3,0.05,16,142,0.995,3.42,0.47,10,6
7,0.25,0.32,9,0.05,56,245,0.996,3.25,0.5,10.4,6
6.9,0.24,0.35,1,0.05,35,146,0.993,3.45,0.44,10,6
7,0.28,0.39,8.7,0.05,32,141,0.996,3.38,0.53,10.5,6
7.4,0.27,0.48,1.1,0.05,17,132,0.991,3.19,0.49,11.6,6
7.2,0.32,0.36,2,0.03,37,114,0.991,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,0.04,20,142,0.997,3.2,0.53,10,6
8.3,0.14,0.34,1.1,0.04,7,47,0.993,3.47,0.4,10.2,6
7.4,0.25,0.36,2,0.05,31,100,0.992,3.19,0.44,10.8,6
6.2,0.12,0.34,1.5,0.04,43,117,0.994,3.42,0.51,9,6
5.8,0.27,0.2,15,0.04,22,179,0.996,3.37,0.37,10.2,5
7.3,0.28,0.43,1.7,0.08,21,123,0.99,3.19,0.42,12.8,5
6.5,0.39,0.23,5.4,0.05,25,149,0.993,3.24,0.35,10,5
7,0.33,0.32,1.2,0.05,38,138,0.991,3.13,0.28,11.2,6
7.3,0.24,0.39,18,0.06,45,149,1,3.21,0.36,8.6,5
7.3,0.24,0.39;18.0,0.06,45,149,1,3.21,0.36,8.6,5,
6.7,0.23,0.39,2.5,0.18,63,158,0.994,3.11,0.36,9.4,6
6.7,0.24,0.39,2.9,0.18,63,157,0.994,3.1,0.34,9.4,6
7,0.31,0.26,7.4,0.07,28,160,0.995,3.13,0.46,9.8,6
6.6,0.24,0.27,1.4,0.06,33,152,0.993,3.22,0.56,9.5,6
6.7,0.23,0.26,1.4,0.06,33,154,0.993,3.24,0.56,9.5,6
