Fixed Acidity,Volatile Acidity,Citric Acid,Residual Sugar,Chlorides,Free Sulfur Dioxide,Total Sulfur Dioxide,Density,pH,Sulphates,Alcohol,Quality Score
7,0.27,0.36,20.7,0.04,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.05,14,132,0.994,3.32,0.49,9.5,6
8.1,0.28,0.4,6.9,0.05,30,97,0.995,3.31,0.44,10.1,6
7.2,0.23,0.32,8.5,0.06,47,186,0.996,3.23,0.4,9.9,6
7.2,0.23,0.32,8.5,0.06,47,186,0.996,3.19,0.4,9.9,6
8.1,0.28,0.4,6.9,0.05,30,97,0.995,3.26,0.44,10.1,6
6.2,0.32,0.16,7,0.04,30,136,0.995,3.18,0.47,9.6,6
7,0.27,0.36,20.7,0.04,45,170,1.001,3,0.45,8.8,6
6.3,0.3,0.34,1.6,0.05,14,132,0.994,3.3,0.49,9.5,6
8.1,0.22,0.43,1.5,0.04,28,129,0.994,3.22,0.45,11,6
8.1,0.27,0.41,1.45,0.03,11,63,0.991,2.99,0.56,12,5
8.6,0.23,0.4,4.2,0.03,17,109,0.995,3.14,0.53,9.7,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
6.6,0.16,0.4,1.5,0.04,48,143,0.991,3.54,0.52,12.4,7
8.3,0.42,0.62,19.25,0.04,41,172,1,2.98,0.67,9.7,5
6.6,0.17,0.38,1.5,0.03,28,112,0.991,3.25,0.55,11.4,7
6.3,0.48,0.04,1.1,0.05,30,99,0.993,3.24,0.36,9.6,6
6.2,0.66,0.48,1.2,0.03,29,75,0.989,3.33,0.39,12.8,8
7.4,0.34,0.42,1.1,0.03,17,171,0.992,3.12,0.53,11.3,6
6.5,0.31,0.14,7.5,0.04,34,133,0.996,3.22,0.5,9.5,5
6.2,0.66,0.48,1.2,0.03,29,75,0.989,3.33,0.39,12.8,8
6.4,0.31,0.38,2.9,0.04,19,102,0.991,3.17,0.35,11,7
6.8,0.26,0.42,1.7,0.05,41,122,0.993,3.47,0.48,10.5,8
7.6,0.67,0.14,1.5,0.07,25,168,0.994,3.05,0.51,9.3,5
6.6,0.27,0.41,1.3,0.05,16,142,0.995,3.42,0.47,10,6
7,0.25,0.32,9,0.05,56,245,0.996,3.25,0.5,10.4,6
6.9,0.24,0.35,1,0.05,35,146,0.993,3.45,0.44,10,6
7,0.28,0.39,8.7,0.05,32,141,0.996,3.38,0.53,10.5,6
7.4,0.27,0.48,1.1,0.05,17,132,0.991,3.19,0.49,11.6,6
7.2,0.32,0.36,2,0.03,37,114,0.991,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,0.04,20,142,0.997,3.2,0.53,10,6
8.3,0.14,0.34,1.1,0.04,37,27,0.993,3.47,0.4,10.2,6
7.4,0.25,0.36,2,0.05,31,100,0.992,3.19,0.44,10.8,6
6.2,0.12,0.34,1.5,0.04,43,117,0.994,3.42,0.51,9,6
5.8,0.27,0.2,15,0.04,22,179,0.996,3.37,0.37,10.2,5
7.3,0.28,0.43,1.7,0.08,21,123,0.99,3.19,0.42,12.8,5
6.5,0.39,0.23,5.4,0.05,25,149,0.993,3.24,0.35,10,5
7,0.33,0.32,1.2,0.05,38,138,0.991,3.13,0.28,11.2,6
7.3,0.24,0.39,18,0.06,45,149,1,3.21,0.36,8.6,5
6.8,0.71,0.25,3.2,0.05,10,57,0.996,3.36,0.52,9.5,4
7.3,0.24,0.39,18,0.06,45,149,1,3.21,0.36,8.6,5
6.7,0.23,0.39,2.5,0.18,63,158,0.994,3.11,0.36,9.4,6
6.7,0.24,0.39,2.9,0.18,63,157,0.994,3.1,0.34,9.4,6
7,0.31,0.26,7.4,0.07,28,160,0.995,3.13,0.46,9.8,6
6.6,0.24,0.27,1.4,0.06,33,152,0.993,3.22,0.56,9.5,6
6.9,0.36,0.34,4.2,0.02,57,119,0.99,3.28,0.36,12.7,9
6.7,0.23,0.26,1.4,0.06,33,154,0.993,3.24,0.56,9.5,6
7.4,0.18,0.31,1.4,0.06,38,167,0.993,3.16,0.53,10,7
6.2,0.45,0.26,4.4,0.06,63,206,0.994,3.27,0.5,9.8,4
5.8,0.28,0.34,2.2,0.04,24,125,0.99,3.36,0.33,12.8,8
6.2,0.46,0.25,4.4,0.07,62,207,0.994,3.25,0.52,9.8,5
7,0.31,0.26,7.4,0.07,28,160,0.995,3.13,0.46,9.8,6
6.9,0.19,0.35,5,0.07,32,150,0.995,3.36,0.48,9.8,5
7.2,0.19,0.31,1.6,0.06,31,173,0.992,3.35,0.44,11.7,6
6.6,0.25,0.29,1.1,0.07,39,124,0.991,3.34,0.58,11,7
6.2,0.16,0.33,1.1,0.06,21,82,0.991,3.32,0.46,10.9,7
6.4,0.18,0.35,1,0.05,39,108,0.991,3.31,0.35,10.9,6
6.8,0.2,0.59,0.9,0.15,38,132,0.993,3.05,0.38,9.1,6
6.9,0.25,0.35,1.3,0.04,29,191,0.991,3.13,0.52,11,6
7.2,0.21,0.34,11.9,0.04,37,213,0.996,3.09,0.5,9.6,6
6,0.19,0.26,12.4,0.05,50,147,0.997,3.3,0.36,8.9,6
6.6,0.38,0.15,4.6,0.04,25,78,0.993,3.11,0.38,10.2,6
7.4,0.2,0.36,1.2,0.04,44,111,0.993,3.36,0.34,9.9,6
6.8,0.22,0.24,4.9,0.09,30,123,0.995,3.03,0.46,8.6,6
6,0.19,0.26,12.4,0.05,50,147,0.997,3.3,0.36,8.9,6
9.1,0.27,0.45,10.6,0.03,28,124,0.997,3.2,0.46,10.4,9
7,0.47,0.07,1.1,0.04,17,151,0.991,3.02,0.34,10.5,5
6.6,0.38,0.15,4.6,0.04,25,78,0.993,3.11,0.38,10.2,6
7.2,0.24,0.27,1.4,0.04,31,122,0.993,3.15,0.46,10.3,6
6.2,0.35,0.03,1.2,0.06,29,120,0.993,3.22,0.54,9.1,5
6.4,0.26,0.24,6.4,0.04,27,124,0.99,3.22,0.49,12.6,7
6.7,0.25,0.13,1.2,0.04,81,174,0.992,3.14,0.42,9.8,5
6.7,0.23,0.31,2.1,0.05,30,96,0.993,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21,105,0.996,3.13,0.35,9.5,5
6.2,0.27,0.43,7.8,0.06,48,244,0.996,3.1,0.51,9,6
6.8,0.3,0.23,4.6,0.06,50,238,0.996,3.32,0.6,9.5,5
6,0.27,0.28,4.8,0.06,31,201,0.996,3.69,0.71,10,5
8.6,0.23,0.46,1,0.05,9,72,0.994,2.95,0.4,9.1,6
6.7,0.23,0.31,2.1,0.06,30,96,0.993,3.33,0.64,10.7,8
7.4,0.24,0.29,10.1,0.05,21,105,0.996,3.13,0.35,9.5,5
7.1,0.18,0.36,1.4,0.04,31,87,0.999,3.26,0.37,12.7,7
7,0.3,0.34,1.3,0.04,20,69,0.991,3.31,0.65,12,7
7.6,0.48,0.37,0.8,0.04,4,100,0.99,3.03,0.39,11.4,4
7.4,0.18,0.3,8.8,0.06,26,103,0.996,2.94,0.56,9.3,5
6.7,0.54,0.28,5.4,0.06,21,105,0.995,3.27,0.37,9,5
6.8,0.22,0.31,1.4,0.05,34,114,0.993,3.39,0.77,10.6,6
7.1,0.2,0.34,16,0.05,51,166,0.998,3.21,0.6,9.2,6
7.1,0.34,0.2,6.1,0.06,47,164,0.995,3.17,0.42,10,5
7.3,0.22,0.3,8.2,0.05,42,207,0.997,3.33,0.46,9.5,6
7.1,0.43,0.61,11.8,0.05,54,155,0.997,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,0.04,52,152,0.998,3.12,0.46,8.7,6
7.2,0.39,0.63,11,0.04,55,156,0.997,3.09,0.44,8.7,6
6.8,0.25,0.31,13.3,0.05,69,202,0.997,3.22,0.48,9.7,6
7.1,0.43,0.61,11.8,0.04,54,155,0.997,3.11,0.45,8.7,5
7.1,0.44,0.62,11.8,0.04,52,152,0.998,3.12,0.46,8.7,6
7.2,0.39,0.63,11,0.04,55,156,0.997,3.09,0.44,8.7,6
6.1,0.27,0.43,7.5,0.05,65,243,0.996,3.12,0.47,9,5
6.9,0.24,0.33,1.7,0.03,47,136,0.99,3.26,0.4,12.6,7
6.9,0.21,0.33,1.8,0.03,48,136,0.999,3.25,0.41,12.6,7
7.5,0.17,0.32,1.7,0.04,51,148,0.991,3.21,0.44,11.5,7
7.1,0.26,0.29,12.4,0.04,62,240,0.997,3.04,0.42,9.2,6
6,0.34,0.66,15.9,0.05,26,164,0.998,3.14,0.5,8.8,6
8.6,0.26,0.36,1.2,0.03,15,80,0.991,2.95,0.36,11.4,7
5.2,0.44,0.04,1.4,0.04,43,119,0.989,3.36,0.33,12.1,8
6.1,0.32,0.24,1.5,0.04,38,124,0.999,3.29,0.42,12.4,7
