date,month,year,lake,site,species,Total length (mm)
20170620,6,2017,MCDERMOTT,1,Bluegill,80
20170620,6,2017,MCDERMOTT,1,Bluegill,75
20170620,6,2017,MCDERMOTT,1,Bluegill,72
20170620,6,2017,MCDERMOTT,1,Bluegill,71
20170620,6,2017,MCDERMOTT,1,Bluegill,70
20170620,6,2017,MCDERMOTT,1,Bluegill,68
20170620,6,2017,MCDERMOTT,1,Bluegill,67
20170620,6,2017,MCDERMOTT,1,Bluegill,67
20170620,6,2017,MCDERMOTT,1,Bluegill,66
20170620,6,2017,MCDERMOTT,1,Bluegill,66
20170620,6,2017,MCDERMOTT,1,Bluegill,66
20170620,6,2017,MCDERMOTT,1,Bluegill,66
20170620,6,2017,MCDERMOTT,1,Bluegill,65
20170620,6,2017,MCDERMOTT,1,Bluegill,64
20170620,6,2017,MCDERMOTT,1,Bluegill,64
20170620,6,2017,MCDERMOTT,1,Bluegill,63
20170620,6,2017,MCDERMOTT,1,Bluegill,63
20170620,6,2017,MCDERMOTT,1,Bluegill,63
20170620,6,2017,MCDERMOTT,1,Bluegill,62
20170620,6,2017,MCDERMOTT,1,Bluegill,62
20170620,6,2017,MCDERMOTT,1,Bluegill,62
20170620,6,2017,MCDERMOTT,1,Bluegill,62
20170620,6,2017,MCDERMOTT,1,Bluegill,60
20170620,6,2017,MCDERMOTT,1,Bluegill,60
20170620,6,2017,MCDERMOTT,1,Bluegill,60
20170620,6,2017,MCDERMOTT,1,Bluegill,56
20170620,6,2017,MCDERMOTT,1,Bluegill,52
20170620,6,2017,MCDERMOTT,1,Bluegill,51
20170620,6,2017,MCDERMOTT,1,Bluegill,51
20170620,6,2017,MCDERMOTT,1,Bluegill,49
20170620,6,2017,MCDERMOTT,1,Bluegill,48
20170620,6,2017,MCDERMOTT,1,Bluegill,48
20170620,6,2017,MCDERMOTT,1,Bluegill,48
20170620,6,2017,MCDERMOTT,1,Bluegill,47
20170620,6,2017,MCDERMOTT,1,Bluegill,47
20170620,6,2017,MCDERMOTT,1,Bluegill,47
20170620,6,2017,MCDERMOTT,1,Bluegill,46
20170620,6,2017,MCDERMOTT,1,Bluegill,46
20170620,6,2017,MCDERMOTT,1,Bluegill,46
20170620,6,2017,MCDERMOTT,1,Bluegill,46
20170620,6,2017,MCDERMOTT,1,Bluegill,46
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,45
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,44
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,43
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,42
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,41
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,40
20170620,6,2017,MCDERMOTT,1,Bluegill,39
20170620,6,2017,MCDERMOTT,1,Bluegill,38
20170620,6,2017,MCDERMOTT,1,Bluegill,37
20170620,6,2017,MCDERMOTT,1,Bluegill,37
20170620,6,2017,MCDERMOTT,1,Bluegill,36
20170620,6,2017,MCDERMOTT,1,Bluegill,36
20170620,6,2017,MCDERMOTT,1,Bluegill,35
20170713,7,2017,MCDERMOTT,1,Bluegill,55
20170713,7,2017,MCDERMOTT,1,Bluegill,53
20170713,7,2017,MCDERMOTT,1,Bluegill,53
20170713,7,2017,MCDERMOTT,1,Bluegill,51
20170713,7,2017,MCDERMOTT,1,Bluegill,51
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,50
20170713,7,2017,MCDERMOTT,1,Bluegill,49
20170713,7,2017,MCDERMOTT,1,Bluegill,48
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,47
20170713,7,2017,MCDERMOTT,1,Bluegill,46
20170713,7,2017,MCDERMOTT,1,Bluegill,45
20170713,7,2017,MCDERMOTT,1,Bluegill,40
20170807,8,2017,MCDERMOTT,1,Bluegill,82
20170807,8,2017,MCDERMOTT,1,Bluegill,82
20170807,8,2017,MCDERMOTT,1,Bluegill,80
20170807,8,2017,MCDERMOTT,1,Bluegill,76
20170807,8,2017,MCDERMOTT,1,Bluegill,75
20170807,8,2017,MCDERMOTT,1,Bluegill,75
20170807,8,2017,MCDERMOTT,1,Bluegill,75
20170807,8,2017,MCDERMOTT,1,Bluegill,74
20170807,8,2017,MCDERMOTT,1,Bluegill,74
20170807,8,2017,MCDERMOTT,1,Bluegill,73
20170807,8,2017,MCDERMOTT,1,Bluegill,72
20170807,8,2017,MCDERMOTT,1,Bluegill,72
20170807,8,2017,MCDERMOTT,1,Bluegill,71
20170807,8,2017,MCDERMOTT,1,Bluegill,70
20170807,8,2017,MCDERMOTT,1,Bluegill,65
20170807,8,2017,MCDERMOTT,1,Bluegill,63
20170807,8,2017,MCDERMOTT,1,Bluegill,63
20170807,8,2017,MCDERMOTT,1,Bluegill,63
20170807,8,2017,MCDERMOTT,1,Bluegill,59
20170807,8,2017,MCDERMOTT,1,Bluegill,58
20170807,8,2017,MCDERMOTT,1,Bluegill,57
20170807,8,2017,MCDERMOTT,1,Bluegill,57
20170807,8,2017,MCDERMOTT,1,Bluegill,57
20170807,8,2017,MCDERMOTT,1,Bluegill,57
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,56
20170807,8,2017,MCDERMOTT,1,Bluegill,55
20170807,8,2017,MCDERMOTT,1,Bluegill,55
20170807,8,2017,MCDERMOTT,1,Bluegill,55
20170807,8,2017,MCDERMOTT,1,Bluegill,55
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,54
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,53
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,52
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,51
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,50
20170807,8,2017,MCDERMOTT,1,Bluegill,49
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,48
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,47
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,46
20170807,8,2017,MCDERMOTT,1,Bluegill,45
20170807,8,2017,MCDERMOTT,1,Bluegill,45
20170807,8,2017,MCDERMOTT,1,Bluegill,44
20170807,8,2017,MCDERMOTT,1,Bluegill,44
20170908,9,2017,MCDERMOTT,1,Bluegill,76
20170908,9,2017,MCDERMOTT,1,Bluegill,75
20170908,9,2017,MCDERMOTT,1,Bluegill,73
20170908,9,2017,MCDERMOTT,1,Bluegill,63
20170908,9,2017,MCDERMOTT,1,Bluegill,61
20170908,9,2017,MCDERMOTT,1,Bluegill,58
20170908,9,2017,MCDERMOTT,1,Bluegill,55
20170908,9,2017,MCDERMOTT,1,Bluegill,55
20170908,9,2017,MCDERMOTT,1,Bluegill,52
20170621,6,2017,MCDERMOTT,1,Bluegill,125
20170621,6,2017,MCDERMOTT,1,Bluegill,96
20170621,6,2017,MCDERMOTT,1,Bluegill,81
20170621,6,2017,MCDERMOTT,1,Bluegill,72
20170621,6,2017,MCDERMOTT,1,Bluegill,69
20170621,6,2017,MCDERMOTT,1,Bluegill,69
20170621,6,2017,MCDERMOTT,1,Bluegill,68
20170621,6,2017,MCDERMOTT,1,Bluegill,65
20170621,6,2017,MCDERMOTT,1,Bluegill,48
20170621,6,2017,MCDERMOTT,1,Bluegill,46
20170621,6,2017,MCDERMOTT,1,Bluegill,43
20170621,6,2017,MCDERMOTT,1,Bluegill,42
20170710,7,2017,MCDERMOTT,1,Bluegill,135
20170710,7,2017,MCDERMOTT,1,Bluegill,135
20170710,7,2017,MCDERMOTT,1,Bluegill,132
20170710,7,2017,MCDERMOTT,1,Bluegill,110
20170710,7,2017,MCDERMOTT,1,Bluegill,103
20170710,7,2017,MCDERMOTT,1,Bluegill,101
20170710,7,2017,MCDERMOTT,1,Bluegill,100
20170710,7,2017,MCDERMOTT,1,Bluegill,95
20170710,7,2017,MCDERMOTT,1,Bluegill,93
20170710,7,2017,MCDERMOTT,1,Bluegill,93
20170710,7,2017,MCDERMOTT,1,Bluegill,90
20170710,7,2017,MCDERMOTT,1,Bluegill,90
20170710,7,2017,MCDERMOTT,1,Bluegill,88
20170710,7,2017,MCDERMOTT,1,Bluegill,82
20170710,7,2017,MCDERMOTT,1,Bluegill,81
20170710,7,2017,MCDERMOTT,1,Bluegill,80
20170710,7,2017,MCDERMOTT,1,Bluegill,78
