date,month,year,lake,species,Total length (mm)
20170620,6,2017,SANDY BEACH,Bluegill,91
20170620,6,2017,SANDY BEACH,Bluegill,59
20170620,6,2017,SANDY BEACH,Bluegill,53
20170620,6,2017,SANDY BEACH,Bluegill,53
20170620,6,2017,SANDY BEACH,Bluegill,53
20170620,6,2017,SANDY BEACH,Bluegill,52
20170620,6,2017,SANDY BEACH,Bluegill,51
20170620,6,2017,SANDY BEACH,Bluegill,51
20170620,6,2017,SANDY BEACH,Bluegill,51
20170620,6,2017,SANDY BEACH,Bluegill,50
20170620,6,2017,SANDY BEACH,Bluegill,50
20170620,6,2017,SANDY BEACH,Bluegill,49
20170620,6,2017,SANDY BEACH,Bluegill,49
20170620,6,2017,SANDY BEACH,Bluegill,48
20170620,6,2017,SANDY BEACH,Bluegill,48
20170620,6,2017,SANDY BEACH,Bluegill,48
20170620,6,2017,SANDY BEACH,Bluegill,48
20170620,6,2017,SANDY BEACH,Bluegill,48
20170620,6,2017,SANDY BEACH,Bluegill,47
20170620,6,2017,SANDY BEACH,Bluegill,47
20170620,6,2017,SANDY BEACH,Bluegill,47
20170620,6,2017,SANDY BEACH,Bluegill,46
20170620,6,2017,SANDY BEACH,Bluegill,45
20170620,6,2017,SANDY BEACH,Bluegill,45
20170620,6,2017,SANDY BEACH,Bluegill,44
20170620,6,2017,SANDY BEACH,Bluegill,44
20170620,6,2017,SANDY BEACH,Bluegill,44
20170620,6,2017,SANDY BEACH,Bluegill,43
20170620,6,2017,SANDY BEACH,Bluegill,43
20170620,6,2017,SANDY BEACH,Bluegill,42
20170620,6,2017,SANDY BEACH,Bluegill,41
20170620,6,2017,SANDY BEACH,Bluegill,41
20170620,6,2017,SANDY BEACH,Bluegill,41
20170620,6,2017,SANDY BEACH,Bluegill,40
20170620,6,2017,SANDY BEACH,Bluegill,39
20170621,6,2017,SANDY BEACH,Bluegill,93
20170621,6,2017,SANDY BEACH,Bluegill,90
20170622,6,2017,SANDY BEACH,Bluegill,95
20170622,6,2017,SANDY BEACH,Bluegill,95
20170622,6,2017,SANDY BEACH,Bluegill,93
20170622,6,2017,SANDY BEACH,Bluegill,93
20170622,6,2017,SANDY BEACH,Bluegill,91
20170622,6,2017,SANDY BEACH,Bluegill,86
20170622,6,2017,SANDY BEACH,Bluegill,85
20170622,6,2017,SANDY BEACH,Bluegill,83
20170622,6,2017,SANDY BEACH,Bluegill,82
20170622,6,2017,SANDY BEACH,Bluegill,80
20170622,6,2017,SANDY BEACH,Bluegill,77
20170622,6,2017,SANDY BEACH,Bluegill,67
20170622,6,2017,SANDY BEACH,Bluegill,64
20170622,6,2017,SANDY BEACH,Bluegill,62
20170622,6,2017,SANDY BEACH,Bluegill,61
20170622,6,2017,SANDY BEACH,Bluegill,60
20170622,6,2017,SANDY BEACH,Bluegill,59
20170622,6,2017,SANDY BEACH,Bluegill,57
20170622,6,2017,SANDY BEACH,Bluegill,55
20170622,6,2017,SANDY BEACH,Bluegill,54
20170622,6,2017,SANDY BEACH,Bluegill,53
20170622,6,2017,SANDY BEACH,Bluegill,52
20170622,6,2017,SANDY BEACH,Bluegill,51
20170622,6,2017,SANDY BEACH,Bluegill,47
20170622,6,2017,SANDY BEACH,Bluegill,43
20170622,6,2017,SANDY BEACH,Bluegill,41
20170623,6,2017,SANDY BEACH,Bluegill,97
20170623,6,2017,SANDY BEACH,Bluegill,91
20170623,6,2017,SANDY BEACH,Bluegill,90
20170623,6,2017,SANDY BEACH,Bluegill,80
20170623,6,2017,SANDY BEACH,Bluegill,78
20170623,6,2017,SANDY BEACH,Bluegill,66
20170623,6,2017,SANDY BEACH,Bluegill,63
20170623,6,2017,SANDY BEACH,Bluegill,60
20170623,6,2017,SANDY BEACH,Bluegill,60
20170623,6,2017,SANDY BEACH,Bluegill,58
20170623,6,2017,SANDY BEACH,Bluegill,58
20170623,6,2017,SANDY BEACH,Bluegill,58
20170623,6,2017,SANDY BEACH,Bluegill,54
20170623,6,2017,SANDY BEACH,Bluegill,53
20170623,6,2017,SANDY BEACH,Bluegill,53
20170623,6,2017,SANDY BEACH,Bluegill,53
20170623,6,2017,SANDY BEACH,Bluegill,52
20170623,6,2017,SANDY BEACH,Bluegill,51
20170623,6,2017,SANDY BEACH,Bluegill,49
20170623,6,2017,SANDY BEACH,Bluegill,48
20170623,6,2017,SANDY BEACH,Bluegill,47
20170623,6,2017,SANDY BEACH,Bluegill,47
20170623,6,2017,SANDY BEACH,Bluegill,47
20170623,6,2017,SANDY BEACH,Bluegill,46
20170623,6,2017,SANDY BEACH,Bluegill,45
20170623,6,2017,SANDY BEACH,Bluegill,45
20170623,6,2017,SANDY BEACH,Bluegill,42
20170623,6,2017,SANDY BEACH,Bluegill,42
20170623,6,2017,SANDY BEACH,Bluegill,41
20170623,6,2017,SANDY BEACH,Bluegill,41
20170623,6,2017,SANDY BEACH,Bluegill,40
20170624,6,2017,SANDY BEACH,Bluegill,100
20170624,6,2017,SANDY BEACH,Bluegill,96
20170624,6,2017,SANDY BEACH,Bluegill,87
20170624,6,2017,SANDY BEACH,Bluegill,85
20170624,6,2017,SANDY BEACH,Bluegill,85
20170624,6,2017,SANDY BEACH,Bluegill,79
20170624,6,2017,SANDY BEACH,Bluegill,77
20170624,6,2017,SANDY BEACH,Bluegill,69
20170624,6,2017,SANDY BEACH,Bluegill,66
20170624,6,2017,SANDY BEACH,Bluegill,64
20170624,6,2017,SANDY BEACH,Bluegill,64
20170624,6,2017,SANDY BEACH,Bluegill,62
20170624,6,2017,SANDY BEACH,Bluegill,62
20170624,6,2017,SANDY BEACH,Bluegill,59
20170624,6,2017,SANDY BEACH,Bluegill,59
20170624,6,2017,SANDY BEACH,Bluegill,59
20170624,6,2017,SANDY BEACH,Bluegill,58
20170624,6,2017,SANDY BEACH,Bluegill,58
20170624,6,2017,SANDY BEACH,Bluegill,58
20170624,6,2017,SANDY BEACH,Bluegill,58
20170624,6,2017,SANDY BEACH,Bluegill,57
20170624,6,2017,SANDY BEACH,Bluegill,56
20170624,6,2017,SANDY BEACH,Bluegill,56
20170624,6,2017,SANDY BEACH,Bluegill,55
20170624,6,2017,SANDY BEACH,Bluegill,55
20170624,6,2017,SANDY BEACH,Bluegill,55
20170624,6,2017,SANDY BEACH,Bluegill,54
20170624,6,2017,SANDY BEACH,Bluegill,54
20170624,6,2017,SANDY BEACH,Bluegill,54
20170624,6,2017,SANDY BEACH,Bluegill,54
20170624,6,2017,SANDY BEACH,Bluegill,54
20170624,6,2017,SANDY BEACH,Bluegill,53
20170624,6,2017,SANDY BEACH,Bluegill,53
20170624,6,2017,SANDY BEACH,Bluegill,53
20170624,6,2017,SANDY BEACH,Bluegill,53
20170624,6,2017,SANDY BEACH,Bluegill,52
20170624,6,2017,SANDY BEACH,Bluegill,52
20170624,6,2017,SANDY BEACH,Bluegill,52
20170624,6,2017,SANDY BEACH,Bluegill,52
20170624,6,2017,SANDY BEACH,Bluegill,52
20170624,6,2017,SANDY BEACH,Bluegill,51
20170624,6,2017,SANDY BEACH,Bluegill,51
20170624,6,2017,SANDY BEACH,Bluegill,51
20170624,6,2017,SANDY BEACH,Bluegill,50
20170624,6,2017,SANDY BEACH,Bluegill,50
20170624,6,2017,SANDY BEACH,Bluegill,50
20170624,6,2017,SANDY BEACH,Bluegill,49
20170624,6,2017,SANDY BEACH,Bluegill,49
20170624,6,2017,SANDY BEACH,Bluegill,49
20170624,6,2017,SANDY BEACH,Bluegill,49
20170624,6,2017,SANDY BEACH,Bluegill,48
20170624,6,2017,SANDY BEACH,Bluegill,48
20170624,6,2017,SANDY BEACH,Bluegill,47
20170624,6,2017,SANDY BEACH,Bluegill,47
20170624,6,2017,SANDY BEACH,Bluegill,47
20170624,6,2017,SANDY BEACH,Bluegill,47
20170624,6,2017,SANDY BEACH,Bluegill,46
20170624,6,2017,SANDY BEACH,Bluegill,46
20170624,6,2017,SANDY BEACH,Bluegill,45
20170624,6,2017,SANDY BEACH,Bluegill,45
20170624,6,2017,SANDY BEACH,Bluegill,45
20170624,6,2017,SANDY BEACH,Bluegill,44
20170624,6,2017,SANDY BEACH,Bluegill,44
20170624,6,2017,SANDY BEACH,Bluegill,43
20170624,6,2017,SANDY BEACH,Bluegill,42
20170624,6,2017,SANDY BEACH,Bluegill,42
20170624,6,2017,SANDY BEACH,Bluegill,41
20170624,6,2017,SANDY BEACH,Bluegill,41
20170624,6,2017,SANDY BEACH,Bluegill,41
20170624,6,2017,SANDY BEACH,Bluegill,38
20170624,6,2017,SANDY BEACH,Bluegill,37
20170624,6,2017,SANDY BEACH,Bluegill,33
20170713,7,2017,SANDY BEACH,Bluegill,104
20170713,7,2017,SANDY BEACH,Bluegill,98
20170713,7,2017,SANDY BEACH,Bluegill,85
20170713,7,2017,SANDY BEACH,Bluegill,81
20170713,7,2017,SANDY BEACH,Bluegill,71
20170713,7,2017,SANDY BEACH,Bluegill,70
20170713,7,2017,SANDY BEACH,Bluegill,68
20170713,7,2017,SANDY BEACH,Bluegill,68
20170713,7,2017,SANDY BEACH,Bluegill,67
20170713,7,2017,SANDY BEACH,Bluegill,65
20170713,7,2017,SANDY BEACH,Bluegill,65
20170713,7,2017,SANDY BEACH,Bluegill,65
20170713,7,2017,SANDY BEACH,Bluegill,65
20170713,7,2017,SANDY BEACH,Bluegill,65
20170713,7,2017,SANDY BEACH,Bluegill,64
20170713,7,2017,SANDY BEACH,Bluegill,63
20170713,7,2017,SANDY BEACH,Bluegill,63
20170713,7,2017,SANDY BEACH,Bluegill,63
20170713,7,2017,SANDY BEACH,Bluegill,62
20170713,7,2017,SANDY BEACH,Bluegill,62
20170713,7,2017,SANDY BEACH,Bluegill,62
20170713,7,2017,SANDY BEACH,Bluegill,61
20170713,7,2017,SANDY BEACH,Bluegill,61
20170713,7,2017,SANDY BEACH,Bluegill,60
20170713,7,2017,SANDY BEACH,Bluegill,60
20170713,7,2017,SANDY BEACH,Bluegill,60
20170713,7,2017,SANDY BEACH,Bluegill,59
20170713,7,2017,SANDY BEACH,Bluegill,58
20170713,7,2017,SANDY BEACH,Bluegill,57
20170713,7,2017,SANDY BEACH,Bluegill,57
20170713,7,2017,SANDY BEACH,Bluegill,57
20170713,7,2017,SANDY BEACH,Bluegill,57
20170713,7,2017,SANDY BEACH,Bluegill,56
20170713,7,2017,SANDY BEACH,Bluegill,53
20170713,7,2017,SANDY BEACH,Bluegill,52
20170713,7,2017,SANDY BEACH,Bluegill,52
20170713,7,2017,SANDY BEACH,Bluegill,51
20170713,7,2017,SANDY BEACH,Bluegill,51
20170713,7,2017,SANDY BEACH,Bluegill,47
20170713,7,2017,SANDY BEACH,Bluegill,40
20170713,7,2017,SANDY BEACH,Bluegill,107
20170713,7,2017,SANDY BEACH,Bluegill,98
20170713,7,2017,SANDY BEACH,Bluegill,97
20170714,7,2017,SANDY BEACH,Bluegill,98
20170714,7,2017,SANDY BEACH,Bluegill,93
20170714,7,2017,SANDY BEACH,Bluegill,90
20170714,7,2017,SANDY BEACH,Bluegill,90
20170714,7,2017,SANDY BEACH,Bluegill,87
20170714,7,2017,SANDY BEACH,Bluegill,87
20170714,7,2017,SANDY BEACH,Bluegill,85
20170714,7,2017,SANDY BEACH,Bluegill,71
20170714,7,2017,SANDY BEACH,Bluegill,69
20170714,7,2017,SANDY BEACH,Bluegill,67
20170714,7,2017,SANDY BEACH,Bluegill,66
20170714,7,2017,SANDY BEACH,Bluegill,65
20170714,7,2017,SANDY BEACH,Bluegill,65
20170714,7,2017,SANDY BEACH,Bluegill,64
20170714,7,2017,SANDY BEACH,Bluegill,64
20170714,7,2017,SANDY BEACH,Bluegill,63
20170714,7,2017,SANDY BEACH,Bluegill,60
20170714,7,2017,SANDY BEACH,Bluegill,60
20170714,7,2017,SANDY BEACH,Bluegill,60
20170714,7,2017,SANDY BEACH,Bluegill,59
20170714,7,2017,SANDY BEACH,Bluegill,58
20170714,7,2017,SANDY BEACH,Bluegill,58
20170714,7,2017,SANDY BEACH,Bluegill,57
20170714,7,2017,SANDY BEACH,Bluegill,57
20170714,7,2017,SANDY BEACH,Bluegill,57
20170714,7,2017,SANDY BEACH,Bluegill,54
20170714,7,2017,SANDY BEACH,Bluegill,53
20170714,7,2017,SANDY BEACH,Bluegill,52
20170714,7,2017,SANDY BEACH,Bluegill,50
20170714,7,2017,SANDY BEACH,Bluegill,47
20170714,7,2017,SANDY BEACH,Bluegill,45
20170715,7,2017,SANDY BEACH,Bluegill,74
20170715,7,2017,SANDY BEACH,Bluegill,70
20170715,7,2017,SANDY BEACH,Bluegill,70
20170715,7,2017,SANDY BEACH,Bluegill,69
20170715,7,2017,SANDY BEACH,Bluegill,67
20170715,7,2017,SANDY BEACH,Bluegill,67
20170715,7,2017,SANDY BEACH,Bluegill,67
20170715,7,2017,SANDY BEACH,Bluegill,66
20170715,7,2017,SANDY BEACH,Bluegill,65
20170715,7,2017,SANDY BEACH,Bluegill,64
20170715,7,2017,SANDY BEACH,Bluegill,63
20170715,7,2017,SANDY BEACH,Bluegill,63
20170715,7,2017,SANDY BEACH,Bluegill,61
20170715,7,2017,SANDY BEACH,Bluegill,61
20170715,7,2017,SANDY BEACH,Bluegill,61
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,60
20170715,7,2017,SANDY BEACH,Bluegill,59
20170715,7,2017,SANDY BEACH,Bluegill,59
20170715,7,2017,SANDY BEACH,Bluegill,58
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,57
20170715,7,2017,SANDY BEACH,Bluegill,56
20170715,7,2017,SANDY BEACH,Bluegill,56
20170715,7,2017,SANDY BEACH,Bluegill,56
20170715,7,2017,SANDY BEACH,Bluegill,55
20170715,7,2017,SANDY BEACH,Bluegill,55
20170715,7,2017,SANDY BEACH,Bluegill,55
20170715,7,2017,SANDY BEACH,Bluegill,55
20170715,7,2017,SANDY BEACH,Bluegill,55
20170715,7,2017,SANDY BEACH,Bluegill,54
20170715,7,2017,SANDY BEACH,Bluegill,54
20170715,7,2017,SANDY BEACH,Bluegill,53
20170715,7,2017,SANDY BEACH,Bluegill,53
20170715,7,2017,SANDY BEACH,Bluegill,53
20170715,7,2017,SANDY BEACH,Bluegill,53
20170715,7,2017,SANDY BEACH,Bluegill,53
20170715,7,2017,SANDY BEACH,Bluegill,52
20170715,7,2017,SANDY BEACH,Bluegill,52
20170715,7,2017,SANDY BEACH,Bluegill,52
20170715,7,2017,SANDY BEACH,Bluegill,52
20170715,7,2017,SANDY BEACH,Bluegill,52
20170715,7,2017,SANDY BEACH,Bluegill,51
20170715,7,2017,SANDY BEACH,Bluegill,51
20170715,7,2017,SANDY BEACH,Bluegill,51
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,50
20170715,7,2017,SANDY BEACH,Bluegill,49
20170715,7,2017,SANDY BEACH,Bluegill,49
20170715,7,2017,SANDY BEACH,Bluegill,49
20170715,7,2017,SANDY BEACH,Bluegill,48
20170715,7,2017,SANDY BEACH,Bluegill,48
20170715,7,2017,SANDY BEACH,Bluegill,48
20170715,7,2017,SANDY BEACH,Bluegill,48
20170715,7,2017,SANDY BEACH,Bluegill,48
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,47
20170715,7,2017,SANDY BEACH,Bluegill,46
20170715,7,2017,SANDY BEACH,Bluegill,46
20170715,7,2017,SANDY BEACH,Bluegill,45
20170715,7,2017,SANDY BEACH,Bluegill,45
20170715,7,2017,SANDY BEACH,Bluegill,45
20170715,7,2017,SANDY BEACH,Bluegill,45
20170715,7,2017,SANDY BEACH,Bluegill,44
20170715,7,2017,SANDY BEACH,Bluegill,44
20170715,7,2017,SANDY BEACH,Bluegill,43
20170715,7,2017,SANDY BEACH,Bluegill,43
20170715,7,2017,SANDY BEACH,Bluegill,42
20170715,7,2017,SANDY BEACH,Bluegill,42
20170715,7,2017,SANDY BEACH,Bluegill,42
20170715,7,2017,SANDY BEACH,Bluegill,42
20170715,7,2017,SANDY BEACH,Bluegill,40
20170715,7,2017,SANDY BEACH,Bluegill,40
20170715,7,2017,SANDY BEACH,Bluegill,40
20170716,7,2017,SANDY BEACH,Bluegill,77
20170716,7,2017,SANDY BEACH,Bluegill,71
20170716,7,2017,SANDY BEACH,Bluegill,70
20170716,7,2017,SANDY BEACH,Bluegill,69
20170716,7,2017,SANDY BEACH,Bluegill,68
20170716,7,2017,SANDY BEACH,Bluegill,67
20170716,7,2017,SANDY BEACH,Bluegill,66
20170716,7,2017,SANDY BEACH,Bluegill,65
20170716,7,2017,SANDY BEACH,Bluegill,65
20170716,7,2017,SANDY BEACH,Bluegill,65
20170716,7,2017,SANDY BEACH,Bluegill,63
20170716,7,2017,SANDY BEACH,Bluegill,62
20170716,7,2017,SANDY BEACH,Bluegill,61
20170716,7,2017,SANDY BEACH,Bluegill,60
20170716,7,2017,SANDY BEACH,Bluegill,60
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,57
20170716,7,2017,SANDY BEACH,Bluegill,56
20170716,7,2017,SANDY BEACH,Bluegill,56
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,55
20170716,7,2017,SANDY BEACH,Bluegill,54
20170716,7,2017,SANDY BEACH,Bluegill,53
20170716,7,2017,SANDY BEACH,Bluegill,53
20170716,7,2017,SANDY BEACH,Bluegill,52
