date,month,year,lake,Bluegill Captured
20170620,6,2017,MCDERMOTT,107
20170713,7,2017,MCDERMOTT,22
20170807,8,2017,MCDERMOTT,96
20170908,9,2017,MCDERMOTT,9
20170621,6,2017,MCDERMOTT,12
20170710,7,2017,MCDERMOTT,42
20170808,8,2017,MCDERMOTT,19
20170905,9,2017,MCDERMOTT,11
20170622,6,2017,MCDERMOTT,16
20170712,7,2017,MCDERMOTT,75
20170810,8,2017,MCDERMOTT,11
20170909,9,2017,MCDERMOTT,16
20170623,6,2017,MCDERMOTT,27
20170714,7,2017,MCDERMOTT,19
20170809,8,2017,MCDERMOTT,48
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
187,,,,
