date,month,year,lake,sampling gear,site,Electrofishing time fished (seconds),Bluegill Captured
20170620,6,2017,MCDERMOTT,CLOVERLEAF,1,NA,108
20170620,6,2017,MCDERMOTT,CLOVERLEAF,2,NA,66
20170620,6,2017,MCDERMOTT,CLOVERLEAF,3,NA,116
20170620,6,2017,MCDERMOTT,CLOVERLEAF,4,NA,9
20170620,6,2017,MCDERMOTT,CLOVERLEAF,5,NA,75
20170713,7,2017,MCDERMOTT,CLOVERLEAF,1,NA,22
20170713,7,2017,MCDERMOTT,CLOVERLEAF,2,NA,183
20170713,7,2017,MCDERMOTT,CLOVERLEAF,3,NA,7
20170713,7,2017,MCDERMOTT,CLOVERLEAF,4,NA,124
20170713,7,2017,MCDERMOTT,CLOVERLEAF,5,NA,76
20170807,8,2017,MCDERMOTT,CLOVERLEAF,1,NA,96
20170807,8,2017,MCDERMOTT,CLOVERLEAF,2,NA,58
20170807,8,2017,MCDERMOTT,CLOVERLEAF,3,NA,14
20170807,8,2017,MCDERMOTT,CLOVERLEAF,4,NA,69
20170807,8,2017,MCDERMOTT,CLOVERLEAF,5,NA,37
20170908,9,2017,MCDERMOTT,CLOVERLEAF,1,NA,9
20170908,9,2017,MCDERMOTT,CLOVERLEAF,2,NA,43
20170908,9,2017,MCDERMOTT,CLOVERLEAF,3,NA,9
20170908,9,2017,MCDERMOTT,CLOVERLEAF,4,NA,13
20170908,9,2017,MCDERMOTT,CLOVERLEAF,5,NA,0
20170620,6,2017,SANDY BEACH,CLOVERLEAF,1,NA,35
20170620,6,2017,SANDY BEACH,CLOVERLEAF,2,NA,2
20170620,6,2017,SANDY BEACH,CLOVERLEAF,3,NA,26
20170620,6,2017,SANDY BEACH,CLOVERLEAF,4,NA,31
20170620,6,2017,SANDY BEACH,CLOVERLEAF,5,NA,73
20170713,7,2017,SANDY BEACH,CLOVERLEAF,1,NA,40
20170713,7,2017,SANDY BEACH,CLOVERLEAF,2,NA,3
20170713,7,2017,SANDY BEACH,CLOVERLEAF,3,NA,31
20170713,7,2017,SANDY BEACH,CLOVERLEAF,4,NA,113
20170713,7,2017,SANDY BEACH,CLOVERLEAF,5,NA,91
20170807,8,2017,SANDY BEACH,CLOVERLEAF,1,NA,28
20170807,8,2017,SANDY BEACH,CLOVERLEAF,2,NA,4
20170807,8,2017,SANDY BEACH,CLOVERLEAF,3,NA,0
20170807,8,2017,SANDY BEACH,CLOVERLEAF,4,NA,8
20170807,8,2017,SANDY BEACH,CLOVERLEAF,5,NA,6
20170908,9,2017,SANDY BEACH,CLOVERLEAF,1,NA,2
20170908,9,2017,SANDY BEACH,CLOVERLEAF,2,NA,6
20170908,9,2017,SANDY BEACH,CLOVERLEAF,3,NA,11
20170908,9,2017,SANDY BEACH,CLOVERLEAF,4,NA,0
20170908,9,2017,SANDY BEACH,CLOVERLEAF,5,NA,1
20170622,6,2017,MCDERMOTT,ELECTROFISHING,1,600,12
20170622,6,2017,MCDERMOTT,ELECTROFISHING,2,600,98
20170622,6,2017,MCDERMOTT,ELECTROFISHING,3,605,27
20170622,6,2017,MCDERMOTT,ELECTROFISHING,4,600,161
20170622,6,2017,MCDERMOTT,ELECTROFISHING,5,610,35
20170622,6,2017,MCDERMOTT,ELECTROFISHING,6,600,81
20170622,6,2017,MCDERMOTT,ELECTROFISHING,7,615,10
20170622,6,2017,MCDERMOTT,ELECTROFISHING,8,600,66
20170710,7,2017,MCDERMOTT,ELECTROFISHING,1,608,42
20170710,7,2017,MCDERMOTT,ELECTROFISHING,2,606,13
20170710,7,2017,MCDERMOTT,ELECTROFISHING,3,603,68
20170710,7,2017,MCDERMOTT,ELECTROFISHING,4,601,90
20170710,7,2017,MCDERMOTT,ELECTROFISHING,5,601,52
20170710,7,2017,MCDERMOTT,ELECTROFISHING,6,604,25
20170710,7,2017,MCDERMOTT,ELECTROFISHING,7,608,40
20170710,7,2017,MCDERMOTT,ELECTROFISHING,8,606,96
20170807,8,2017,MCDERMOTT,ELECTROFISHING,1,605,19
20170807,8,2017,MCDERMOTT,ELECTROFISHING,2,612,168
20170807,8,2017,MCDERMOTT,ELECTROFISHING,3,600,66
20170807,8,2017,MCDERMOTT,ELECTROFISHING,4,602,149
20170807,8,2017,MCDERMOTT,ELECTROFISHING,5,600,53
20170807,8,2017,MCDERMOTT,ELECTROFISHING,6,607,32
20170807,8,2017,MCDERMOTT,ELECTROFISHING,7,602,115
20170807,8,2017,MCDERMOTT,ELECTROFISHING,8,608,56
20170905,9,2017,MCDERMOTT,ELECTROFISHING,1,1196,11
20170905,9,2017,MCDERMOTT,ELECTROFISHING,2,1195,25
20170905,9,2017,MCDERMOTT,ELECTROFISHING,3,1088,27
20170905,9,2017,MCDERMOTT,ELECTROFISHING,4,953,1
20170621,6,2017,SANDY BEACH,ELECTROFISHING,1,600,0
20170621,6,2017,SANDY BEACH,ELECTROFISHING,2,602,9
20170621,6,2017,SANDY BEACH,ELECTROFISHING,3,600,0
20170621,6,2017,SANDY BEACH,ELECTROFISHING,4,610,6
20170621,6,2017,SANDY BEACH,ELECTROFISHING,5,610,0
20170621,6,2017,SANDY BEACH,ELECTROFISHING,6,605,4
20170621,6,2017,SANDY BEACH,ELECTROFISHING,7,620,3
20170621,6,2017,SANDY BEACH,ELECTROFISHING,8,602,4
20170711,7,2017,SANDY BEACH,ELECTROFISHING,1,601,2
20170711,7,2017,SANDY BEACH,ELECTROFISHING,2,609,7
20170711,7,2017,SANDY BEACH,ELECTROFISHING,3,600,0
20170711,7,2017,SANDY BEACH,ELECTROFISHING,4,605,2
20170711,7,2017,SANDY BEACH,ELECTROFISHING,5,603,11
20170711,7,2017,SANDY BEACH,ELECTROFISHING,6,607,1
20170711,7,2017,SANDY BEACH,ELECTROFISHING,7,607,0
20170711,7,2017,SANDY BEACH,ELECTROFISHING,8,602,0
20170808,8,2017,SANDY BEACH,ELECTROFISHING,1,603,9
20170808,8,2017,SANDY BEACH,ELECTROFISHING,2,603,1
20170808,8,2017,SANDY BEACH,ELECTROFISHING,3,600,5
20170808,8,2017,SANDY BEACH,ELECTROFISHING,4,610,1
20170808,8,2017,SANDY BEACH,ELECTROFISHING,5,608,10
20170808,8,2017,SANDY BEACH,ELECTROFISHING,6,606,4
20170808,8,2017,SANDY BEACH,ELECTROFISHING,7,609,0
20170808,8,2017,SANDY BEACH,ELECTROFISHING,8,602,1
20170905,9,2017,SANDY BEACH,ELECTROFISHING,1,1208,2
20170905,9,2017,SANDY BEACH,ELECTROFISHING,2,1203,8
20170905,9,2017,SANDY BEACH,ELECTROFISHING,3,1296,4
20170622,6,2017,MCDERMOTT,MINI-FYKE,1,NA,16
20170622,6,2017,MCDERMOTT,MINI-FYKE,2,NA,9
20170622,6,2017,MCDERMOTT,MINI-FYKE,3,NA,58
20170622,6,2017,MCDERMOTT,MINI-FYKE,4,NA,72
20170622,6,2017,MCDERMOTT,MINI-FYKE,5,NA,54
20170712,7,2017,MCDERMOTT,MINI-FYKE,1,NA,75
20170712,7,2017,MCDERMOTT,MINI-FYKE,2,NA,3
20170712,7,2017,MCDERMOTT,MINI-FYKE,3,NA,80
20170712,7,2017,MCDERMOTT,MINI-FYKE,4,NA,12
20170712,7,2017,MCDERMOTT,MINI-FYKE,5,NA,45
20170809,8,2017,MCDERMOTT,MINI-FYKE,1,NA,11
20170809,8,2017,MCDERMOTT,MINI-FYKE,2,NA,10
20170809,8,2017,MCDERMOTT,MINI-FYKE,3,NA,16
20170809,8,2017,MCDERMOTT,MINI-FYKE,4,NA,12
